,id,was_married,childrens,salary,sex,age,Professon,home_cost,drive_info
0,0,1,4.0,45032.4,1,82.0,Engineer,10036744.144810405,
1,1,1,2.0,202004.64,1,32.0,Doctor,10140513.669981455,0.0
2,2,1,6.0,213158.75,1,14.0,Entertainment,10433180.965577615,
3,3,0,1.0,185692.78,0,10.0,Lawyer,10042985.31329015,
4,4,1,9.0,132067.32,1,99.0,Artist,10219081.58669495,
5,5,1,3.0,999.61,0,21.0,Homemaker,10016535.306500807,1.0
6,6,1,3.0,999.45,0,21.0,Homemaker,9980108.144758623,
7,7,1,2.0,201589.78,1,32.0,Doctor,10226684.489521174,1.0
8,8,1,1.0,12912.69,1,9.0,Marketing,10173613.021271689,1.0
9,9,1,9.0,132369.86,1,100.0,Artist,10184430.87626286,
10,10,1,9.0,131822.41,1,100.0,Artist,10376836.589678586,1.0
11,11,1,6.0,215179.2,1,14.0,Entertainment,10332529.881403985,
12,12,0,1.0,185944.6,0,11.0,Lawyer,10292128.124890065,
13,13,1,0.0,2031.73,0,17.0,Healthcare,10199714.224865196,
14,14,1,0.0,35224.64,1,3.0,Executive,10081419.49743887,0.0
15,15,1,9.0,132544.95,1,99.0,Artist,10295396.483619208,
16,16,1,0.0,2031.2,0,18.0,Healthcare,10124013.385915646,1.0
17,17,1,0.0,34980.8,1,3.0,Executive,10047476.85238399,1.0
18,18,1,9.0,132526.39,1,99.0,Artist,10088373.162625644,1.0
19,19,1,1.0,12430.25,1,9.0,Marketing,10122364.017617684,
20,20,1,4.0,45141.94,1,82.0,Engineer,10256228.33931408,
21,21,1,3.0,999.41,0,21.0,Homemaker,10116704.972444888,0.0
22,22,0,1.0,185359.14,0,10.0,Lawyer,10193135.010884875,1.0
23,23,1,3.0,1000.8,0,20.0,Homemaker,10051564.784645809,0.0
24,24,0,1.0,185177.64,0,10.0,Lawyer,10194051.957358938,1.0
25,25,1,6.0,216965.52,1,13.0,Entertainment,10215899.960679583,
26,26,1,6.0,213013.95,1,13.0,Entertainment,10230947.532300057,0.0
27,27,1,3.0,1000.18,0,21.0,Homemaker,10115635.44239498,
28,28,1,2.0,202008.75,1,32.0,Doctor,10316166.952248294,1.0
29,29,1,6.0,216046.52,1,13.0,Entertainment,10226017.960478716,1.0
30,30,1,6.0,215595.27,1,13.0,Entertainment,10224701.24302113,
31,31,1,0.0,1987.46,0,17.0,Healthcare,10168633.151457714,
32,32,1,0.0,2051.5,0,17.0,Healthcare,10133472.70377746,1.0
33,33,1,0.0,2078.48,0,17.0,Healthcare,10235163.817886297,1.0
34,34,1,4.0,45406.78,1,81.0,Engineer,10152152.821734676,1.0
35,35,0,2.0,201987.53,1,32.0,Doctor,10234989.380244672,1.0
36,36,1,3.0,1000.78,0,21.0,Homemaker,10176757.983331908,
37,37,0,1.0,186609.69,0,11.0,Lawyer,10231725.823327942,0.0
38,38,1,1.0,12716.14,1,9.0,Marketing,10089234.232459892,0.0
39,39,1,4.0,45087.3,1,82.0,Engineer,10051340.303437635,1.0
40,40,1,0.0,2018.98,0,17.0,Healthcare,10071270.072042877,
41,41,1,2.0,201886.81,1,32.0,Doctor,10162726.811061878,
42,42,1,0.0,2032.58,0,17.0,Healthcare,10070502.3258332,
43,43,1,3.0,1002.57,0,21.0,Homemaker,10069308.789836118,
44,44,1,0.0,2017.99,0,17.0,Healthcare,10180547.495851366,
45,45,1,3.0,998.47,0,21.0,Homemaker,10053408.469589818,
46,46,0,2.0,202080.08,1,32.0,Doctor,10299740.875915129,1.0
47,47,0,1.0,187001.73,0,10.0,Lawyer,10322609.446500808,1.0
48,48,1,3.0,1000.27,0,21.0,Homemaker,10023458.30345784,1.0
49,49,0,1.0,186239.08,0,10.0,Lawyer,10193145.632914916,1.0
50,50,1,6.0,212935.84,1,13.0,Entertainment,10241573.727556156,
51,51,1,3.0,1000.35,0,21.0,Homemaker,10156912.474210007,
52,52,1,6.0,213664.61,1,13.0,Entertainment,10318051.007882718,
53,53,1,9.0,132746.51,1,100.0,Artist,10203307.816821748,
54,54,1,4.0,45583.98,1,82.0,Engineer,10137682.563470503,
